"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0402_1005Metric";2;"22pF ceramic";;;
2;"U2";"SZFYDOSH_11x27mm_Sensor";1;"GUVA-S12SD";;;
3;"U4";"TO-220-3_Vertical";1;"LM7805_TO220";;;
4;"C3,C4";"C_1206_3216Metric";2;"10µF-50V electrolytic";;;
5;"U1";"DS18B20-MSKSEMI";1;"DS18B20";;;
6;"R1";"R_0402_1005Metric";1;"4.7kΩ";;;
7;"U3";"DIP-28_W7.62mm";1;"ATmega328P-P";;;
8;"U5";"4-Wire-SPI";1;"4-Wire-SPI";;;
9;"R3";"R_0603_1608Metric";1;"10kΩ";;;
10;"Y1";"Crystal_HC49-U_Vertical";1;"CrystalOscillator_16MHz";;;
